trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
46810533,13:14:27,13:14:27,455,1,,0,0,
46810533,13:18:41,13:18:41,7203,2,,0,0,0.6745
46810533,13:21:33,13:21:33,24391,3,,0,0,1.1317
46810533,13:24:25,13:24:25,5155,4,,0,0,1.5683
46810533,13:25:27,13:25:27,4559,5,,0,0,1.7215
46810533,13:26:48,13:26:48,5310,6,,0,0,1.9219
46810533,13:28:23,13:28:23,1594,7,,0,0,2.1568
46810533,13:30:00,13:30:00,8778,8,,0,0,2.3961
46810533,13:33:42,13:33:42,454,9,,0,0,2.9705
46810533,13:34:33,13:34:33,7952,10,,0,0,3.1372
46810533,13:35:26,13:35:26,23946,11,,0,0,3.3100
46810533,13:39:12,13:39:12,2493,12,,0,0,4.0468
46810533,13:40:40,13:40:40,2005,13,,0,0,4.3356
46810533,13:42:29,13:42:29,23947,14,,0,0,4.6920
46810533,13:42:54,13:42:54,392,15,,0,0,4.7750
46810533,13:43:40,13:43:40,23947,16,,0,0,4.9581
46810533,13:44:40,13:44:40,4496,17,,0,0,5.2179
46810533,13:45:42,13:45:42,10146,18,,0,0,5.4885
46810533,13:46:23,13:46:23,3594,19,,0,0,5.6663
46810533,13:47:18,13:47:18,1779,20,,0,0,5.9072
46810533,13:48:42,13:48:42,5729,21,,0,0,6.2733
46810533,13:49:52,13:49:52,393,22,,0,0,6.5783
46810533,13:51:25,13:51:25,4734,23,,0,0,6.8942
46810533,13:52:42,13:52:42,2101,24,,0,0,7.1623
46810533,13:53:52,13:53:52,4719,25,,0,0,7.4075
46810533,13:55:07,13:55:07,2019,26,,0,0,7.6690
46810533,13:55:39,13:55:39,3946,27,,0,0,7.7806
46810533,13:57:13,13:57:13,3942,28,,0,0,8.1089
46810533,13:59:02,13:59:02,7994,29,,0,0,8.4894
46810533,14:00:00,14:00:00,14758,30,,0,0,8.6802
46810534,15:30:00,15:30:00,23940,1,,0,0,
46810534,15:35:39,15:35:39,23942,2,,0,0,1.7978
46810534,15:37:04,15:37:04,23941,3,,0,0,2.0984
46810534,15:39:12,15:39:12,4395,4,,0,0,2.5513
46810534,15:41:11,15:41:11,5005,5,,0,0,2.9718
46810534,15:42:49,15:42:49,5332,6,,0,0,3.3162
46810534,15:44:18,15:44:18,23943,7,,0,0,3.6315
46810534,15:48:40,15:48:40,7681,8,,0,0,4.6768
46810534,15:50:40,15:50:40,3948,9,,0,0,5.1729
46810534,15:51:37,15:51:37,3280,10,,0,0,5.4098
46810534,15:52:24,15:52:24,5277,11,,0,0,5.6069
46810534,15:53:11,15:53:11,1443,12,,0,0,5.8033
46810534,15:54:25,15:54:25,6485,13,,0,0,6.1109
46810535,8:42:59,8:42:59,392,1,,0,0,
46810535,8:43:29,8:43:29,23947,2,,0,0,0.1331
46810535,8:44:30,8:44:30,4496,3,,0,0,0.3928
46810535,8:45:34,8:45:34,10146,4,,0,0,0.6634
46810535,8:46:16,8:46:16,3594,5,,0,0,0.8413
46810535,8:47:13,8:47:13,1779,6,,0,0,1.0821
46810535,8:48:40,8:48:40,5729,7,,0,0,1.4482
46810535,8:49:52,8:49:52,393,8,,0,0,1.7532
46810535,8:51:25,8:51:25,4734,9,,0,0,2.0691
46810535,8:52:42,8:52:42,2101,10,,0,0,2.3372
46810535,8:53:52,8:53:52,4719,11,,0,0,2.5824
46810535,8:55:07,8:55:07,2019,12,,0,0,2.8439
46810535,8:55:39,8:55:39,3946,13,,0,0,2.9555
46810535,8:57:13,8:57:13,3942,14,,0,0,3.2838
46810535,8:59:02,8:59:02,7994,15,,0,0,3.6644
46810535,9:00:00,9:00:00,14758,16,,0,0,3.8552
46810536,14:00:00,14:00:00,23940,1,,0,0,
46810536,14:05:39,14:05:39,23942,2,,0,0,1.7978
46810536,14:07:04,14:07:04,23941,3,,0,0,2.0984
46810536,14:09:12,14:09:12,4395,4,,0,0,2.5513
46810536,14:11:11,14:11:11,5005,5,,0,0,2.9718
46810536,14:12:49,14:12:49,5332,6,,0,0,3.3162
46810536,14:14:18,14:14:18,23943,7,,0,0,3.6315
46810536,14:18:41,14:18:41,7681,8,,0,0,4.6768
46810536,14:20:42,14:20:42,3948,9,,0,0,5.1729
46810536,14:21:39,14:21:39,3280,10,,0,0,5.4098
46810536,14:22:27,14:22:27,5277,11,,0,0,5.6069
46810536,14:23:14,14:23:14,1443,12,,0,0,5.8033
46810536,14:24:29,14:24:29,6485,13,,0,0,6.1109
46810536,14:25:41,14:25:41,23901,14,,0,0,6.3370
46810536,14:26:24,14:26:24,23944,15,,0,0,6.4570
46810536,14:27:58,14:27:58,23945,16,,0,0,6.7176
46810536,14:30:39,14:30:39,7946,17,,0,0,7.1631
46810536,14:32:42,14:32:42,15038,18,,0,0,7.5029
46810536,14:34:13,14:34:13,4829,19,,0,0,7.7540
46810536,14:35:37,14:35:37,1125,20,,0,0,7.9862
46810536,14:37:48,14:37:48,14250,21,,0,0,8.3473
46810536,14:44:11,14:44:11,455,22,,0,0,9.0528
46810536,14:48:41,14:48:41,7203,23,,0,0,9.7273
46810536,14:51:33,14:51:33,24391,24,,0,0,10.1845
46810536,14:54:25,14:54:25,5155,25,,0,0,10.6211
46810536,14:55:27,14:55:27,4559,26,,0,0,10.7743
46810536,14:56:48,14:56:48,5310,27,,0,0,10.9746
46810536,14:58:23,14:58:23,1594,28,,0,0,11.2096
46810536,15:00:00,15:00:00,8778,29,,0,0,11.4489
46810536,15:03:42,15:03:42,454,30,,0,0,12.0233
46810536,15:04:33,15:04:33,7952,31,,0,0,12.1900
46810536,15:05:26,15:05:26,23946,32,,0,0,12.3628
46810536,15:09:12,15:09:12,2493,33,,0,0,13.0996
46810536,15:10:40,15:10:40,2005,34,,0,0,13.3884
46810536,15:12:29,15:12:29,23947,35,,0,0,13.7448
46810536,15:12:54,15:12:54,392,36,,0,0,13.8278
46810536,15:13:40,15:13:40,23947,37,,0,0,14.0109
46810536,15:14:40,15:14:40,4496,38,,0,0,14.2707
46810536,15:15:42,15:15:42,10146,39,,0,0,14.5413
46810536,15:16:23,15:16:23,3594,40,,0,0,14.7191
46810536,15:17:18,15:17:18,1779,41,,0,0,14.9600
46810536,15:18:42,15:18:42,5729,42,,0,0,15.3261
46810536,15:19:52,15:19:52,393,43,,0,0,15.6311
46810536,15:21:25,15:21:25,4734,44,,0,0,15.9470
46810536,15:22:42,15:22:42,2101,45,,0,0,16.2151
46810536,15:23:52,15:23:52,4719,46,,0,0,16.4603
46810536,15:25:07,15:25:07,2019,47,,0,0,16.7218
46810536,15:25:39,15:25:39,3946,48,,0,0,16.8334
46810536,15:27:13,15:27:13,3942,49,,0,0,17.1617
46810536,15:29:02,15:29:02,7994,50,,0,0,17.5422
46810536,15:30:00,15:30:00,14758,51,,0,0,17.7330
46810537,10:30:00,10:30:00,23940,1,,0,0,
46810537,10:35:39,10:35:39,23942,2,,0,0,1.7978
46810537,10:37:04,10:37:04,23941,3,,0,0,2.0984
46810537,10:39:12,10:39:12,4395,4,,0,0,2.5513
46810537,10:41:11,10:41:11,5005,5,,0,0,2.9718
46810537,10:42:49,10:42:49,5332,6,,0,0,3.3162
46810537,10:44:18,10:44:18,23943,7,,0,0,3.6315
46810537,10:48:41,10:48:41,7681,8,,0,0,4.6768
46810537,10:50:42,10:50:42,3948,9,,0,0,5.1729
46810537,10:51:39,10:51:39,3280,10,,0,0,5.4098
46810537,10:52:27,10:52:27,5277,11,,0,0,5.6069
46810537,10:53:14,10:53:14,1443,12,,0,0,5.8033
46810537,10:54:29,10:54:29,6485,13,,0,0,6.1109
46810537,10:55:41,10:55:41,23901,14,,0,0,6.3370
46810537,10:56:24,10:56:24,23944,15,,0,0,6.4570
46810537,10:57:58,10:57:58,23945,16,,0,0,6.7176
46810537,11:00:39,11:00:39,7946,17,,0,0,7.1631
46810537,11:02:42,11:02:42,15038,18,,0,0,7.5029
46810537,11:04:13,11:04:13,4829,19,,0,0,7.7540
46810537,11:05:37,11:05:37,1125,20,,0,0,7.9862
46810537,11:07:48,11:07:48,14250,21,,0,0,8.3473
46810537,11:14:11,11:14:11,455,22,,0,0,9.0528
46810537,11:18:41,11:18:41,7203,23,,0,0,9.7273
46810537,11:21:33,11:21:33,24391,24,,0,0,10.1845
46810537,11:24:25,11:24:25,5155,25,,0,0,10.6211
46810537,11:25:27,11:25:27,4559,26,,0,0,10.7743
46810537,11:26:48,11:26:48,5310,27,,0,0,10.9746
46810537,11:28:23,11:28:23,1594,28,,0,0,11.2096
46810537,11:30:00,11:30:00,8778,29,,0,0,11.4489
46810537,11:33:42,11:33:42,454,30,,0,0,12.0233
46810537,11:34:33,11:34:33,7952,31,,0,0,12.1900
46810537,11:35:26,11:35:26,23946,32,,0,0,12.3628
46810537,11:39:12,11:39:12,2493,33,,0,0,13.0996
46810537,11:40:40,11:40:40,2005,34,,0,0,13.3884
46810537,11:42:29,11:42:29,23947,35,,0,0,13.7448
46810537,11:42:54,11:42:54,392,36,,0,0,13.8278
46810537,11:43:40,11:43:40,23947,37,,0,0,14.0109
46810537,11:44:40,11:44:40,4496,38,,0,0,14.2707
46810537,11:45:42,11:45:42,10146,39,,0,0,14.5413
46810537,11:46:23,11:46:23,3594,40,,0,0,14.7191
46810537,11:47:18,11:47:18,1779,41,,0,0,14.9600
46810537,11:48:42,11:48:42,5729,42,,0,0,15.3261
46810537,11:49:52,11:49:52,393,43,,0,0,15.6311
46810537,11:51:25,11:51:25,4734,44,,0,0,15.9470
46810537,11:52:42,11:52:42,2101,45,,0,0,16.2151
46810537,11:53:52,11:53:52,4719,46,,0,0,16.4603
46810537,11:55:07,11:55:07,2019,47,,0,0,16.7218
46810537,11:55:39,11:55:39,3946,48,,0,0,16.8334
46810537,11:57:13,11:57:13,3942,49,,0,0,17.1617
46810537,11:59:02,11:59:02,7994,50,,0,0,17.5422
46810537,12:00:00,12:00:00,14758,51,,0,0,17.7330
46810538,9:00:00,9:00:00,23940,1,,0,0,
46810538,9:05:39,9:05:39,23942,2,,0,0,1.7978
46810538,9:07:04,9:07:04,23941,3,,0,0,2.0984
46810538,9:09:12,9:09:12,4395,4,,0,0,2.5513
46810538,9:11:11,9:11:11,5005,5,,0,0,2.9718
46810538,9:12:49,9:12:49,5332,6,,0,0,3.3162
46810538,9:14:18,9:14:18,23943,7,,0,0,3.6315
46810538,9:18:41,9:18:41,7681,8,,0,0,4.6768
46810538,9:20:42,9:20:42,3948,9,,0,0,5.1729
46810538,9:21:39,9:21:39,3280,10,,0,0,5.4098
