trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
47135760,14:44:16,14:44:16,4158,1,,0,0,0.0408
47135760,14:50:38,14:50:38,6498,2,,0,0,1.1186
47135760,14:51:17,14:51:17,5147,3,,0,0,1.3340
47135760,14:52:21,14:52:21,8563,4,,0,0,1.6847
47135760,14:53:04,14:53:04,711,5,,0,0,1.9185
47135760,14:53:36,14:53:36,5786,6,,0,0,2.0938
47135760,14:54:15,14:54:15,6510,7,,0,0,2.3093
47135760,14:55:26,14:55:26,2703,8,,0,0,2.6956
47135760,14:56:00,14:56:00,8035,9,,0,0,2.8819
47135760,14:57:35,14:57:35,6270,10,,0,0,3.3976
47135760,14:58:00,14:58:00,8243,11,,0,0,3.5352
47135760,14:58:50,14:58:50,2119,12,,0,0,3.8091
47135760,14:59:38,14:59:38,2013,13,,0,0,4.0423
47135760,15:01:48,15:01:48,9062,14,,0,0,4.7426
47135760,15:03:35,15:03:35,6218,15,,0,0,5.3197
47135760,15:04:22,15:04:22,926,16,,0,0,5.5735
47135760,15:04:53,15:04:53,7768,17,,0,0,5.7448
47135760,15:06:01,15:06:01,15400,18,,0,0,6.0230
47135760,15:07:23,15:07:23,10005,19,,0,0,6.3717
47135760,15:08:26,15:08:26,8844,20,,0,0,6.6394
47135760,15:11:09,15:11:09,5083,21,,0,0,7.3311
47135760,15:12:28,15:12:28,2001,22,,0,0,7.6680
47135760,15:13:54,15:13:54,8741,23,,0,0,8.0342
47135760,15:14:48,15:14:48,1560,24,,0,0,8.2668
47135760,15:15:12,15:15:12,487,25,,0,0,8.3581
47135760,15:16:04,15:16:04,8374,26,,0,0,8.5763
47135760,15:18:00,15:18:00,24285,27,,0,0,9.0538
47136250,15:24:29,15:24:29,526,1,,0,0,
47136250,15:25:28,15:25:28,3838,2,,0,0,0.2677
47136250,15:26:37,15:26:37,9481,3,,0,0,0.5775
47136250,15:28:03,15:28:03,5649,4,,0,0,0.9659
47136250,15:29:34,15:29:34,8835,5,,0,0,1.3735
47136250,15:30:16,15:30:16,1127,6,,0,0,1.5656
47136250,15:31:04,15:31:04,8027,7,,0,0,1.7824
47136250,15:32:23,15:32:23,6283,8,,0,0,2.1396
47136250,15:33:26,15:33:26,24483,9,,0,0,2.4227
47136250,15:34:03,15:34:03,4365,10,,0,0,2.5910
47136250,15:34:49,15:34:49,4222,11,,0,0,2.7971
47136250,15:36:29,15:36:29,6822,12,,0,0,3.3623
47136250,15:37:50,15:37:50,6065,13,,0,0,3.8530
47136250,15:38:37,15:38:37,23867,14,,0,0,4.1405
47136250,15:39:59,15:39:59,2042,15,,0,0,4.6371
47136250,15:42:00,15:42:00,3355,16,,0,0,5.3699
47136250,15:44:00,15:44:00,14176,17,,0,0,6.0742
47136251,15:19:29,15:19:29,526,1,,0,0,
47136251,15:20:28,15:20:28,3838,2,,0,0,0.2677
47136251,15:21:37,15:21:37,9481,3,,0,0,0.5775
47136251,15:23:03,15:23:03,5649,4,,0,0,0.9659
47136251,15:24:34,15:24:34,8835,5,,0,0,1.3735
47136251,15:25:16,15:25:16,1127,6,,0,0,1.5656
47136251,15:26:04,15:26:04,8027,7,,0,0,1.7824
47136251,15:27:23,15:27:23,6283,8,,0,0,2.1396
47136251,15:28:26,15:28:26,24483,9,,0,0,2.4227
47136251,15:29:03,15:29:03,4365,10,,0,0,2.5910
47136251,15:29:49,15:29:49,4222,11,,0,0,2.7971
47136251,15:31:29,15:31:29,6822,12,,0,0,3.3623
47136251,15:32:50,15:32:50,6065,13,,0,0,3.8530
47136251,15:33:37,15:33:37,23867,14,,0,0,4.1405
47136251,15:34:59,15:34:59,2042,15,,0,0,4.6371
47136251,15:37:00,15:37:00,3355,16,,0,0,5.3699
47136251,15:39:00,15:39:00,14176,17,,0,0,6.0742
47136889,8:31:00,8:31:00,9655,1,,0,0,
47136889,8:32:07,8:32:07,6292,2,,0,0,0.3272
47136889,8:32:47,8:32:47,7745,3,,0,0,0.5242
47136889,8:33:26,8:33:26,2685,4,,0,0,0.7157
47136889,8:34:37,8:34:37,14954,5,,0,0,1.0597
47136889,8:35:22,8:35:22,1218,6,,0,0,1.2818
47136889,8:36:06,8:36:06,6743,7,,0,0,1.4953
47136889,8:37:01,8:37:01,8337,8,,0,0,1.7650
47136889,8:37:51,8:37:51,7223,9,,0,0,2.0105
47136889,8:38:51,8:38:51,9706,10,,0,0,2.3034
47136889,8:39:44,8:39:44,5366,11,,0,0,2.5451
