trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
46912554,11:00:00,11:00:00,294,1,,0,0,
46912554,11:10:09,11:10:09,24392,2,,0,0,0.6527
46912554,11:12:30,11:12:30,15153,3,,0,0,0.9377
46912554,11:14:57,11:14:57,7374,4,,0,0,1.2339
46912554,11:18:25,11:18:25,9366,5,,0,0,1.6533
46912554,11:19:03,11:19:03,1832,6,,0,0,1.7308
46912554,11:20:09,11:20:09,499,7,,0,0,1.8837
46912554,11:20:50,11:20:50,8785,8,,0,0,2.0859
46912554,11:22:08,11:22:08,5033,9,,0,0,2.4721
46912554,11:22:37,11:22:37,14184,10,,0,0,2.6181
46912554,11:23:21,11:23:21,295,11,,0,0,2.8348
46912554,11:24:33,11:24:33,6600,12,,0,0,3.1920
46912554,11:25:25,11:25:25,2954,13,,0,0,3.4522
46912554,11:26:15,11:26:15,2243,14,,0,0,3.6994
46912554,11:26:58,11:26:58,7506,15,,0,0,3.9116
46912554,11:27:50,11:27:50,1606,16,,0,0,4.1687
46912554,11:28:21,11:28:21,445,17,,0,0,4.2663
46912554,11:30:16,11:30:16,10182,18,,0,0,4.6291
46912554,11:31:43,11:31:43,3680,19,,0,0,4.9026
46912554,11:32:28,11:32:28,689,20,,0,0,5.0445
46912554,11:33:38,11:33:38,5145,21,,0,0,5.2646
46912554,11:35:38,11:35:38,3798,22,,0,0,5.6415
46912554,11:36:47,11:36:47,4692,23,,0,0,5.8579
46912554,11:37:50,11:37:50,9459,24,,0,0,6.0568
46912554,11:39:30,11:39:30,14769,25,,0,0,6.3713
46912554,11:45:25,11:45:25,24707,26,,0,0,7.5026
46912554,11:46:04,11:46:04,15132,27,,0,0,7.6302
46912554,11:47:11,11:47:11,7830,28,,0,0,7.8475
46912554,11:50:06,11:50:06,14768,29,,0,0,8.4090
46912554,11:51:13,11:51:13,10323,30,,0,0,8.6448
46912554,11:51:30,11:51:30,2136,31,,0,0,8.7053
46912554,11:54:15,11:54:15,945,32,,0,0,9.2859
46912554,12:00:00,12:00:00,488,33,,0,0,10.4878
46912555,17:30:00,17:30:00,294,1,,0,0,
46912555,17:40:09,17:40:09,24392,2,,0,0,0.6527
46912555,17:42:30,17:42:30,15153,3,,0,0,0.9377
46912555,17:44:57,17:44:57,7374,4,,0,0,1.2339
46912555,17:48:25,17:48:25,9366,5,,0,0,1.6533
46912555,17:49:03,17:49:03,1832,6,,0,0,1.7308
46912555,17:50:09,17:50:09,499,7,,0,0,1.8837
46912555,17:50:50,17:50:50,8785,8,,0,0,2.0859
46912555,17:52:08,17:52:08,5033,9,,0,0,2.4721
46912555,17:52:37,17:52:37,14184,10,,0,0,2.6181
46912555,17:53:21,17:53:21,295,11,,0,0,2.8348
46912555,17:54:33,17:54:33,6600,12,,0,0,3.1920
46912555,17:55:25,17:55:25,2954,13,,0,0,3.4522
46912555,17:56:15,17:56:15,2243,14,,0,0,3.6994
46912555,17:56:58,17:56:58,7506,15,,0,0,3.9116
46912555,17:57:50,17:57:50,1606,16,,0,0,4.1687
46912555,17:58:20,17:58:20,445,17,,0,0,4.2663
46912555,18:00:12,18:00:12,10182,18,,0,0,4.6291
46912555,18:01:36,18:01:36,3680,19,,0,0,4.9026
46912555,18:02:20,18:02:20,689,20,,0,0,5.0445
46912555,18:03:28,18:03:28,5145,21,,0,0,5.2646
46912555,18:05:25,18:05:25,3798,22,,0,0,5.6415
46912555,18:06:32,18:06:32,4692,23,,0,0,5.8579
46912555,18:07:33,18:07:33,9459,24,,0,0,6.0568
46912555,18:09:10,18:09:10,14769,25,,0,0,6.3713
46912556,16:30:00,16:30:00,294,1,,0,0,
46912556,16:40:09,16:40:09,24392,2,,0,0,0.6527
46912556,16:42:30,16:42:30,15153,3,,0,0,0.9377
46912556,16:44:57,16:44:57,7374,4,,0,0,1.2339
46912556,16:48:25,16:48:25,9366,5,,0,0,1.6533
46912556,16:49:03,16:49:03,1832,6,,0,0,1.7308
46912556,16:50:09,16:50:09,499,7,,0,0,1.8837
46912556,16:50:50,16:50:50,8785,8,,0,0,2.0859
46912556,16:52:08,16:52:08,5033,9,,0,0,2.4721
46912556,16:52:37,16:52:37,14184,10,,0,0,2.6181
46912556,16:53:21,16:53:21,295,11,,0,0,2.8348
46912556,16:54:33,16:54:33,6600,12,,0,0,3.1920
46912556,16:55:25,16:55:25,2954,13,,0,0,3.4522
46912556,16:56:15,16:56:15,2243,14,,0,0,3.6994
46912556,16:56:58,16:56:58,7506,15,,0,0,3.9116
46912556,16:57:50,16:57:50,1606,16,,0,0,4.1687
46912556,16:58:20,16:58:20,445,17,,0,0,4.2663
46912556,17:00:12,17:00:12,10182,18,,0,0,4.6291
46912556,17:01:36,17:01:36,3680,19,,0,0,4.9026
46912556,17:02:20,17:02:20,689,20,,0,0,5.0445
46912556,17:03:28,17:03:28,5145,21,,0,0,5.2646
46912556,17:05:25,17:05:25,3798,22,,0,0,5.6415
46912556,17:06:32,17:06:32,4692,23,,0,0,5.8579
46912556,17:07:33,17:07:33,9459,24,,0,0,6.0568
46912556,17:09:10,17:09:10,14769,25,,0,0,6.3713
46912557,10:00:00,10:00:00,294,1,,0,0,
46912557,10:10:09,10:10:09,24392,2,,0,0,0.6527
46912557,10:12:30,10:12:30,15153,3,,0,0,0.9377
46912557,10:14:57,10:14:57,7374,4,,0,0,1.2339
46912557,10:18:25,10:18:25,9366,5,,0,0,1.6533
46912557,10:19:03,10:19:03,1832,6,,0,0,1.7308
46912557,10:20:09,10:20:09,499,7,,0,0,1.8837
46912557,10:20:50,10:20:50,8785,8,,0,0,2.0859
46912557,10:22:08,10:22:08,5033,9,,0,0,2.4721
46912557,10:22:37,10:22:37,14184,10,,0,0,2.6181
46912557,10:23:21,10:23:21,295,11,,0,0,2.8348
46912557,10:24:33,10:24:33,6600,12,,0,0,3.1920
46912557,10:25:25,10:25:25,2954,13,,0,0,3.4522
46912557,10:26:15,10:26:15,2243,14,,0,0,3.6994
46912557,10:26:58,10:26:58,7506,15,,0,0,3.9116
46912557,10:27:50,10:27:50,1606,16,,0,0,4.1687
46912557,10:28:21,10:28:21,445,17,,0,0,4.2663
46912557,10:30:16,10:30:16,10182,18,,0,0,4.6291
46912557,10:31:43,10:31:43,3680,19,,0,0,4.9026
46912557,10:32:28,10:32:28,689,20,,0,0,5.0445
46912557,10:33:38,10:33:38,5145,21,,0,0,5.2646
