stop_id,zone_id,location_type,stop_name,stop_desc,stop_lat,stop_url,stop_timezone,wheelchair_boarding,parent_station,preferred,stop_lon,stop_code
1142:1,,0,Northbound @ 443 Harmony,,43.917231,,,1,,2,-78.839598,1142
1143:1,,0,Harmony Northbound @ Swiss,,43.933475,,,1,,2,-78.84678599999998,1143
1144:1,,0,Harmony Northbound @ Grand Ridge,,43.935668,,,1,,2,-78.847728,1144
1145:1,,0,Harmony Southbound @ Adelaide,,43.91292,,,1,,1,-78.83798,1145
1146:1,,0,Harmony Southbound @ Eastbourne,,43.90900100000001,,,1,,2,-78.836235,1146
1147:1,,0,Harmony Southbound @ Regent,,43.907603,,,1,,2,-78.835614,1147
1148:1,,0,Harmony Southbound @ King,,43.904711,,,1,,1,-78.83438599999998,1148
1149:1,,0,Harmony Southbound @ Palace,,43.90330500000001,,,1,,2,-78.833634,1149
114:1,,0,Country Lane Northbound @ Wetherburn,,43.896118,,,1,,2,-78.966829,114
1150:1,,0,Harmony Southbound @ Hoskin,,43.901176,,,1,,2,-78.83266999999998,1150
1151:1,,0,Southbound @ 188 Harmony,,43.899357,,,2,,2,-78.831854,1151
1152:1,,0,Harmony Southbound @ Florell,,43.896955,,,1,,2,-78.830782,1152
1153:1,,0,Harmony Northbound @ Old Harmony,,43.89775,,,1,,2,-78.830938,1153
1154:1,,0,Harmony Northbound @ Hoskin,,43.899752,,,1,,2,-78.831838,1154
1155:1,,0,Harmony Northbound @ Palace,,43.90378813,,,2,,2,-78.833706,1155
1156:1,,0,King Westbound @ Harmony,,43.90424800000001,,,2,,1,-78.835009,1156
1157:1,,0,Bond Northbound @ Riverside,,43.90426723,,,1,,2,-78.837534,1157
1158:1,,0,Bond Westbound @ Claymore (East side stop),,43.90453,,,1,,2,-78.84238999999998,1158
1159:1,,0,Bond Westbound @ Claymore (West side stop),,43.904135,,,1,,1,-78.844005,1159
115:1,,0,Country Lane Northbound @ Gartshore,,43.898544,,,1,,2,-78.969667,115
1160:1,,0,Bond Westbound @ Cadillac,,43.90335675,,,1,,2,-78.847111,1160
1161:1,,0,Bond Westbound @ Patricia,,43.902664,,,1,,2,-78.84988199999998,1161
1162:1,,0,Bond Westbound @ Oshawa Boulevard,,43.901254,,,1,,2,-78.85265699999998,1162
1163:1,,0,Bond Westbound @ Ritson,,43.900548,,,1,,1,-78.855176,1163
1164:1,,0,Bond Westbound @ Mary,,43.899252,,,1,,2,-78.86069,1164
1165:1,,0,Bond Westbound @ Simcoe,,43.89857640000001,,,2,,1,-78.8638232,1165
1166:1,,0,Bond Westbound @ Centre,,43.8980427,,,1,,1,-78.86599339999998,1166
1167:1,,0,Bond Westbound @ Arena,,43.8971812,,,2,,2,-78.8700233,1167
1169:1,,0,Bond Westbound @ Park,,43.896215,,,1,,1,-78.87463099999998,1169
116:1,,0,Country Lane Northbound @ Randolph,,43.900852,,,1,,2,-78.970374,116
1171:1,,0,Bond Westbound @ Gibbons,,43.895268,,,1,,2,-78.878156,1171
1172:1,,0,Bond Westbound @ Stevenson,,43.89388328,,,1,,1,-78.884232,1172
1173:1,,0,King Westbound @ Waverly,,43.892156,,,1,,2,-78.888154,1173
1174:1,,0,King Westbound @ Thornton,,43.89066900000001,,,1,,1,-78.894721,1174
1175:1,,0,King Eastbound @ Thornton,,43.8910876,,,1,,1,-78.8920772,1175
1176:1,,0,King Eastbound @ Waverly,,43.891958,,,1,,2,-78.88811099999998,1176
1177:1,,0,King Eastbound @ Stevenson,,43.89334800000001,,,1,,1,-78.88199,1177
1178:1,,0,King Eastbound @ Gibbons,,43.89406180000001,,,1,,2,-78.8787275,1178
117:1,,0,Country Lane Northbound @ Twin Streams,,43.9031059,,,1,,2,-78.9716001,117
1181:1,,0,King Eastbound @ Warren,,43.895479,,,2,,1,-78.872558,1181
1183:1,,0,King Eastbound @ Midtown,,43.896359,,,2,,2,-78.868644,1183
1185:1,,0,King Eastbound @ Mary,,43.898339,,,2,,2,-78.860061,1185
1186:1,,0,King Eastbound @ Drew,,43.899141,,,2,,2,-78.856595,1186
1187:1,,0,King Eastbound @ Rowe,,43.89992500000001,,,1,,1,-78.853177,1187
1188:1,,0,King Eastbound @ Central Park,,43.901002,,,1,,2,-78.848573,1188
1189:1,,0,King Eastbound @ Cadillac,,43.901543,,,1,,2,-78.846174,1189
118:1,,0,Country Lane Northbound @ Medland,,43.907044,,,1,,2,-78.973335,118
1190:1,,0,King Eastbound @ Wilson,,43.902215,,,2,,1,-78.843385,1190
1192:1,,0,King Eastbound @ Farewell,,43.903023,,,1,,2,-78.839804,1192
1193:1,,0,King Eastbound @ Riverside,,43.90361,,,1,,2,-78.837145,1193
1194:1,,0,King Eastbound @ Harmony,,43.904153,,,1,,2,-78.834637,1194
1195:1,,0,King Eastbound @ Melrose,,43.905525,,,1,,2,-78.828657,1195
1196:1,,0,King Eastbound @ Keewatin,,43.905856,,,1,,2,-78.82687,1196
1197:1,,0,King Eastbound @ Grandview,,43.90560521,,,1,,2,-78.823016,1197
1198:1,,0,King Eastbound @ Rockcliffe,,43.905817,,,1,,2,-78.820278,1198
1199:1,,0,King Eastbound @ Eastlawn,,43.90612500000001,,,1,,2,-78.816804,1199
119:1,,0,Country Lane Northbound @ Taunton,,43.9105664,,,1,,2,-78.9766051,119
11:1,,0,Garden Northbound @ Rossland (Durham Region Headquarters),,43.898916,,,1,,2,-78.939531,11
1200:1,,0,King Eastbound @ Townline,,43.906406,,,1,,1,-78.813775,1200
1217:1,,0,Courtice Southbound @ Moyse (Courtice Community Complex),,43.914105,,,2,,2,-78.778936,1217
1218:1,,0,Highway 2 Westbound @ Courtice,,43.911594,,,1,,1,-78.779235,1218
1219:1,,0,Highway 2 Westbound @ Trulls,,43.911048,,,1,,1,-78.788115,1219
1220:1,,0,Highway 2 Westbound @ Sandringham,,43.909174,,,2,,2,-78.79601,1220
1221:1,,0,Highway 2 Westbound @ Prestonvale,,43.908585,,,1,,1,-78.797674,1221
1222:1,,0,Highway 2 Westbound @ Centerfield,,43.90764200000001,,,1,,1,-78.803571,1222
1223:1,,0,Highway 2 Westbound @ Varcoe,,43.907163,,,1,,2,-78.807587,1223
1224:1,,0,Highway 2 Eastbound @ Darlington Boulevard,,43.906907,,,1,,2,-78.808273,1224
1225:1,,0,Highway 2 Eastbound @ Old Kingston,,43.907393,,,1,,1,-78.803827,1225
1226:1,,0,Courtice Southbound @ Highway 2,,43.910864,,,2,,2,-78.777544,1226
1227:1,,0,Sandringham Westbound @ Short,,43.909137,,,1,,2,-78.778369,1227
1228:1,,0,Avondale Southbound @ Stagemaster,,43.907937,,,1,,2,-78.779807,1228
1229:1,,0,Avondale Southbound @ Brownstone,,43.90579242,,,1,,2,-78.780964,1229
1230:1,,0,Avondale Southbound @ Farmington,,43.904046,,,1,,2,-78.781861,1230
1231:1,,0,Trulls Northbound @ Avondale,,43.903403,,,1,,2,-78.784876,1231
1232:1,,0,Northbound @ 2501 Trulls,,43.90456300000001,,,1,,2,-78.785437,1232
1233:1,,0,Sandringham Westbound @ Bushford,,43.9059139,,,1,,2,-78.78781669999998,1233
1234:1,,0,Sandringham Westbound @ Yorkville,,43.90300993000001,,,1,,2,-78.790682,1234
1242:1,,0,King Eastbound @ Simcoe,,43.89762300000001,,,2,,1,-78.863176,1242
1244:1,,0,Highway 2 Eastbound @ Prestonvale,,43.908429,,,1,,1,-78.797456,1244
1245:1,,0,Highway 2 Eastbound @ Trulls,,43.910829,,,1,,1,-78.787906,1245
1252:1,,0,Olive Westbound @ Viewmount,,43.896941,,,1,,2,-78.821096,1252
1255:1,,0,Olive Westbound @ Florell,,43.89598841,,,1,,2,-78.82724399999998,1255
1257:1,,0,Olive Westbound @ Elmridge,,43.89510700000001,,,1,,1,-78.83126799999998,1257
1258:1,,0,Olive Westbound @ Poplar,,43.894441,,,1,,2,-78.834343,1258
1259:1,,0,Olive Westbound @ Baldwin,,43.89386600000001,,,1,,2,-78.836928,1259
125:1,,0,Taunton Eastbound @ Cochrane,,43.912852,,,2,,2,-78.96736199999998,125
