route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
23,26JA05-CPBlock-Weekday-11,29342721,23 W Lakeshore To Clarkson Go,,1,2740902,230096,1,1
2,26JA05-CPBlock-Weekday-11,29342722,2 N Hurontario To City Centre,,0,2741225,20021,1,1
28,26JA05-CPBlock-Weekday-11,29342723,28 S Confederation To Trillium,,1,2740903,280134,1,1
2,26JA05-CPBlock-Weekday-11,29342724,2 N Hurontario To City Centre,,0,2741099,20021,1,1
38,26JA05-CPBlock-Weekday-11,29342725,38 S Creditview To Cooksville Go,,1,2741129,380284,1,1
8,26JA05-CPBlock-Weekday-11,29342726,8 S Cawthra To Port Credit Go,,1,2740883,80246,1,1
8,26JA05-CPBlock-Weekday-11,29342727,8 N Cawthra To City Centre,,0,2740881,80242,1,1
8,26JA05-CPBlock-Weekday-11,29342728,8 N Cawthra To City Centre,,0,2741107,80241,1,1
8,26JA05-CPBlock-Weekday-11,29342729,8 S Cawthra To Port Credit Go,,1,2741023,80246,1,1
8,26JA05-CPBlock-Weekday-11,29342730,8 S Cawthra To Port Credit Go,,1,2740882,80246,1,1
14,26JA05-CPBlock-Weekday-11,29342731,14A W Lorne Park To Clarkson Go,,1,2741111,140057,1,1
14,26JA05-CPBlock-Weekday-11,29342732,14 W Lorne Park To Clarkson Go,,1,2740960,140058,1,1
46,26JA05-CPBlock-Weekday-11,29342733,46 N Tenth Line To Meadowvale,,0,2741220,460033,1,1
312,26JA05-CPBlock-Weekday-11,29342734,312 E Glenforest Ss To School,,0,2741012,3120015,1,1
312,26JA05-CPBlock-Weekday-11,29342735,312 W Glenforest Ss To City Centre,,1,2741189,3120014,1,1
315,26JA05-CPBlock-Weekday-11,29342736,315 S Rick Hansen Ss To City Centre,,1,2740965,3150021,1,1
321,26JA05-CPBlock-Weekday-11,29342737,321 S Stephen Lewis Ss To Artesian,,1,2740848,3210027,1,1
57,26JA05-CPBlock-Weekday-11,29342738,57 W Courtneypark To Sheridan College,,1,2740852,570152,1,1
13,26JA05-CPBlock-Weekday-11,29342739,13 S Glen Erin To Clarkson Go,,1,2740982,130139,1,1
14,26JA05-CPBlock-Weekday-11,29342740,14 E Lorne Park To Port Credit Go,,0,2741040,140056,1,1
14,26JA05-CPBlock-Weekday-11,29342741,14 E Lorne Park To Port Credit Go,,0,2741089,140056,1,1
6,26JA05-CPBlock-Weekday-11,29342742,6 W Credit Woodlands To Westdale,,1,2740897,60142,1,1
8,26JA05-CPBlock-Weekday-11,29342743,8 S Cawthra To Port Credit Go,,1,2741162,80246,1,1
10,26JA05-CPBlock-Weekday-11,29342744,10 S Bristol City Centre,,1,2741163,100201,1,1
110,26JA05-CPBlock-Weekday-11,29342745,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342746,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342747,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342748,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342749,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342750,110 N Express University Exp,,0,2740873,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342751,110 Express University Exp,,1,2740873,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342752,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342753,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342754,110 Express University Exp,,1,2740873,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342755,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342756,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342757,110 Express University Exp,,1,2740873,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342758,110 N Express University Exp,,0,2740873,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342759,110 N Express University Exp,,0,2740873,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342760,110 Express University Exp,,1,2740873,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342761,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342762,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342763,110 Express University Exp,,1,2741108,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342764,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342765,110 N Express University Exp,,0,2741108,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342766,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342767,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342768,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342769,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342770,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342771,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342772,110 Express University Exp,,1,2741108,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342773,110 N Express University Exp,,0,2741108,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342774,110 Express University Exp,,1,2741108,1100147,1,1
110,26JA05-CPBlock-Weekday-11,29342775,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342776,110 S Express University Exp,,1,2740873,1100149,1,1
