stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
355518,4418,RYMAL at SECOND,RYMAL RD E & SECOND RD W,43.177592,-79.795263,,,,,,0
355519,4420,RYMAL opposite FLETCHER,RYMAL RD E & FLETCHER RD,43.179802,-79.80507,,,,,,0
355522,4474,GARNER at SPRINGBROOK,GARNER RD E & SPRINGBROOK AV,43.207942,-79.944786,,,,,,0
355524,4478,GARNER at KITTY MURRAY,GARNER RD E & KITTY MURRAY LN,43.206659,-79.952515,,,,,,0
355526,4482,GARNER at MILLER,GARNER RD E & MILLER DR,43.202959,-79.97501,,,,,,0
355527,4482,GARNER at ANSON,GARNER RD E & ANSON DR,43.20242,-79.978336,,,,,,0
355528,4486,GARNER at BRAITHWAITE,GARNER RD W & BRAITHWAITE AV,43.200955,-79.987326,,,,,,0
355529,4486,GARNER at PANABAKER,GARNER RD W & PANABAKER DR,43.19966,-79.995289,,,,,,0
355530,4486,GARNER at HAMILTON,GARNER RD W & HAMILTON DR,43.198563,-80.001941,,,,,,0
355531,4488,GARNER at SHAVER,GARNER RD W & SHAVER RD,43.196908,-80.011808,,,,,,0
355532,4492,TRADEWIND at WILSON,TRADEWIND DR & WILSON ST W,43.192668,-80.031354,,,,,,0
355533,4494,SANDHILL at TRADEWIND,SANDHILL DR & TRADEWIND DR,43.190773,-80.029761,,,,,,0
355534,4494,At 1349 SANDHILL,SANDHILL DR & #1354,43.192541,-80.02787,,,,,,0
355535,4494,SANDHILL at OSPREY,SANDHILL DR & OSPREY DR,43.193158,-80.023418,,,,,,0
355537,4496,OSPREY at CORMORANT,OSPREY DR & CORMORANT RD,43.187438,-80.028301,,,,,,0
355538,4498,Opposite 1325 CORMORANT,CORMORANT RD & #1325 OPP,43.187671,-80.025565,,,,,,0
355539,4497,At 1325 CORMORANT,CORMORANT RD & #1325,43.187771,-80.025507,,,,,,0
355543,4493,At 1354 SANDHILL,SANDHILL DR & #1349,43.192262,-80.027645,,,,,,0
355544,4493,SANDHILL at TRADEWIND,SANDHILL DR & TRADEWIND DR,43.190766,-80.03052,,,,,,0
355545,4491,TRADEWIND at WILSON,TRADEWIND DR & WILSON ST W,43.192653,-80.031185,,,,,,0
355546,4487,GARNER at SHAVER,GARNER RD W & SHAVER RD,43.196693,-80.012228,,,,,,0
355547,4485,GARNER opposite HAMILTON,GARNER RD W & HAMILTON DR,43.198393,-80.002127,,,,,,0
355548,4483,GARNER opposite PANNABAKER,GARNER RD W & PANABAKER DR,43.199481,-79.995524,,,,,,0
355549,4483,GARNER opposite BRAITHWAITE,GARNER RD W & BRAITHWAITE AV,43.200776,-79.987586,,,,,,0
355550,4479,GARNER opposite ANSON,GARNER RD E & ANSON DR,43.202295,-79.978262,,,,,,0
355551,4479,GARNER opposite MILLER,GARNER RD E & MILLER DR,43.202771,-79.975282,,,,,,0
355552,4477,GARNER opposite WOODMOUNT,GARNER RD E & WOODMOUNT AV,43.203382,-79.971659,,,,,,0
355553,4475,GARNER opposite KITTY MURRAY,GARNER RD E & KITTY MURRAY LN,43.206551,-79.952626,,,,,,0
355555,4473,GARNER opposite SPRINGBROOK,GARNER RD E & SPRINGBROOK AV,43.207709,-79.945218,,,,,,0
355556,4473,GARNER at BENNETTS APPLES,GARNER RD E & BENNETTS,43.208552,-79.939987,,,,,,0
355557,4415,RYMAL at DAKOTA,RYMAL RD E & DAKOTA BV,43.181914,-79.815205,,,,,,0
355558,4413,RYMAL at FLETCHER,RYMAL RD E & FLETCHER RD,43.179874,-79.805935,,,,,,0
355560,4421,RYMAL at TERRYBERRY,RYMAL RD E & TERRYBERRY RD,43.175461,-79.786655,,,,,,0
355561,4423,RYMAL at WALMART,RYMAL RD E & PRIVATE RD,43.174751,-79.783529,,,,,,0
355563,4407,UPPER CENTENNIAL at HIGHLAND,UP/CENTENNIAL PY & HIGHLAND RD W,43.181358,-79.773032,,,,,,0
355565,8090,BAY at KING,BAY ST N & KING ST W,43.258236,-79.873579,,,,,,0
355567,1140,GREENHILL opposite ERINDALE,GREENHILL AV & ERINDALE AV,43.22071,-79.810095,,,,,,0
355570,1312,UNIVERSITY PLAZA PLATFORM 2,,43.258396,-79.942772,,,,,,0
355571,2128,MOHAWK COLLEGE TERMINAL PLTFRM 1,MOHAWK COLLEGE TERMINAL & PLATFORM 1,43.238877,-79.884156,,,,,,0
355572,3309,MOHAWK COLLEGE TERMINAL PLTFRM 2,MOHAWK COLLEGE TERMINAL & PLATFORM 2,43.238545,-79.88402,,,,,,0
355573,2901,MOHAWK COLLEGE TERMINAL PLTFRM 3,MOHAWK COLLEGE TERMINAL & PLATFORM 3,43.238384,-79.883674,,,,,,0
355574,3533,MOHAWK COLLEGE TERMINAL PLTFRM 4,MOHAWK COLLEGE TERMINAL & PLATFORM 4,43.238115,-79.883773,,,,,,0
355575,2959,MOHAWK COLLEGE TERMINAL PLTFRM 5,WEST 5TH ST & FENNELL AV W,43.237909,-79.883166,,,,,,0
355596,4050,HERITAGE GREENE TERMINAL PLATFORM 1,,43.192489,-79.810446,,,,,,0
355597,4041,HERITAGE GREENE TERMINAL PLATFORM 2,,43.193597,-79.809757,,,,,,0
355690,1281,ROXBOROUGH at STRATHEARNE,ROXBOROUGH AV & STRATHEARNE AV,43.241576,-79.798558,,,,,,0
355716,4435,ARTFRANK at WINTERBERRY,UP/MOUNT ALBION RD & PARAMOUNT DR,43.194087,-79.80665,,,,,,0
355720,2972,DUNDURN at HERKIMER,DUNDURN ST S & HERKIMER ST,43.253466,-79.891764,,,,,,0
355727,2986,YORK opposite MACNAB,YORK BV & MACNAB ST N,43.25905,-79.869445,,,,,,0
355733,2420,GATESTONE opposite BEACHGROVE,GATESTONE DR & BEACHGROVE CR,43.187476,-79.784681,,,,,,0
355734,2964,LOCKE at HUNTER,LOCKE ST S & HUNTER ST W,43.256832,-79.88503,,,,,,0
355735,4495,OSPREY opposite SANDHILL,OSPREY DR & SANDHILL DR,43.192877,-80.023785,,,,,,0
355736,3541,SISTER ELISABETH at SISTER VARGA,YATES GT & BUTTY PASS,43.205431,-79.912181,,,,,,0
355738,3540,GARTH at RYMAL,GARTH ST & RYMAL RD W,43.206613,-79.912502,,,,,,0
355739,2142,SISTER ELISABETH opposite SISTER VARGA,ST. ELISABETH WAY & SISTER VARGA TR,43.205431,-79.912057,,,,,,0
355740,3542,GARTH at RYMAL,GARTH ST & RYMAL RD W,43.207052,-79.912218,,,,,,0
355741,2141,GIBBONS SQUARE SHELTER,PRIVATE RD & GIBBONS SQUARE,43.205799,-79.911006,,,,,,0
355742,1185,EMERSON at MAIN,EMERSON ST & MAIN ST W,43.257209,-79.919749,,,,,,0
355743,1187,WHITNEY at EMERSON,WHITNEY AV & EMERSON ST,43.252489,-79.922446,,,,,,0
355745,2043,CONCESSION at EAST 31ST,CONCESSION ST & EAST 31ST ST,43.238703,-79.843234,,,,,,0
355746,2542,BARTON at FRUITLAND,BARTON ST & FRUITLAND RD,43.222609,-79.700629,,,,,,0
355760,2962,DUNDURN at CHARLTON,DUNDURN ST S & CHARLTON AV W,43.254567,-79.891169,,,,,,0
355762,1239,JOHN at KING WILLIAM,JOHN ST N & KING WILLIAM ST,43.25655,-79.866166,,,,,,0
355764,2140,SISTER ELIZABETH  AT PHARMACY,SISTER ELISABETH WAY & VILLAGE PHARMACY,43.205414,-79.910424,,,,,,0
355765,2642,WILSON opposite WEST HAMILTON LOOP,WILSON ST E & WEST HAMILTON LOOP,43.245239,-79.947691,,,,,,0
355769,4473,GARNER opposite RAYMOND,GARNER RD E & RAYMOND RD,43.209455,-79.934577,,,,,,0
355770,4472,GARNER at RAYMOND,GARNER RD E & RAYMOND RD,43.209583,-79.934334,,,,,,0
355775,1638,WILSON at MCCLURE,WILSON ST W & MCCLURE RD,43.198308,-80.018229,,,,,,0
355777,2556,At 307 HIGHWAY 8,HIGHWAY NO. 8 & #307,43.220271,-79.730834,,,,,,0
355781,2564,Opposite 198 BARTON,BARTON ST & #198 BARTON OPP,43.231929,-79.736682,,,,,,0
355782,2535,At 198 BARTON,BARTON ST & #198 BARTON,43.231795,-79.736731,,,,,,0
355793,4402,UPPER CENTENNIAL at GREEN MOUNTAIN,UP/CENTENNIAL PY & GREEN MOUNTAIN RD E,43.199008,-79.765331,,,,,,0
355794,4404,UPPER CENTENNIAL at GREEN MOUNTAIN,UP/CENTENNIAL PY & GREEN MOUNTAIN RD E,43.19917,-79.765417,,,,,,0
355796,1400,MOUNTAIN TRANSIT CENTRE PLATFORM 2,,43.184666,-79.902052,,,,,,0
355797,9208,MOUNTAIN TRANSIT CENTRE PLATFORM 1,,43.185212,-79.901805,,,,,,0
355798,9231,MOUNTAIN TRANSIT CENTRE PLATFORM 3,,43.184684,-79.901928,,,,,,0
355805,9233,JOHN at YOUNG,JOHN ST S & YOUNG ST,43.250596,-79.868583,,,,,,0
355811,1245,BARTON at MELROSE,BARTON ST E & MELROSE AV N,43.255004,-79.830409,,,,,,0
355814,2170,UPPER WELLINGTON at MOUNTVILLE,UP/WELLINGTON ST & MOUNTVILLE AV,43.242033,-79.865172,,,,,,0
355815,2378,CENTENNIAL at VINEYARD,CENTENNIAL PY N & VINEYARD RD,43.230491,-79.763163,,,,,,0
355816,5602,CENTENNIAL opposite VINEYARD,CENTENNIAL PY N & VINEYARD RD,43.230456,-79.763312,,,,,,0
355818,2086,CONCESSION at UPPER GAGE,CONCESSION ST & UP/GAGE AV,43.236872,-79.835279,,,,,,0
355820,1841,WATERDOWN opposite CRAVEN,WATERDOWN RD & CRAVEN AV OPP,43.314727,-79.863643,,,,,,0
355821,1842,WATERDOWN at CRAVEN,WATERDOWN RD & CRAVEN AV,43.314521,-79.863606,,,,,,0
355822,1843,WATERDOWN opposite FLATT,WATERDOWN RD & FLATT RD OPP,43.317442,-79.868585,,,,,,0
355823,1844,WATERDOWN at FLATT,WATERDOWN RD & FLATT RD,43.317398,-79.868696,,,,,,0
355824,1845,At 1651 WATERDOWN,WATERDOWN RD & #1651 WATERDOWN RD,43.321205,-79.872622,,,,,,0
