route_id,shape_pt_lat,shape_pt_lon
001,43.848578,-79.361106,0
001,43.848793,-79.361193,0
001,43.849038,-79.361305,0
001,43.849138,-79.360903,0
001,43.849193,-79.360676,0
001,43.849244,-79.360446,0
001,43.849290,-79.360214,0
001,43.849406,-79.359660,0
001,43.849750,-79.357992,0
001,43.849877,-79.357377,0
001,43.849962,-79.357009,0
001,43.850183,-79.356028,0
001,43.850465,-79.354719,0
001,43.851054,-79.351944,0
001,43.851318,-79.350711,0
001,43.851433,-79.350171,0
001,43.851599,-79.349454,0
001,43.851636,-79.349293,0
001,43.851668,-79.349150,0
001,43.851730,-79.348879,0
001,43.851790,-79.348587,0
001,43.851932,-79.347896,0
001,43.851987,-79.347627,0
001,43.852101,-79.347094,0
001,43.852176,-79.346771,0
001,43.852336,-79.346047,0
001,43.852482,-79.345389,0
001,43.852555,-79.345077,0
001,43.852616,-79.344816,0
001,43.852835,-79.343916,0
001,43.852922,-79.343544,0
001,43.852979,-79.343293,0
001,43.853122,-79.342650,0
001,43.853288,-79.341919,0
001,43.853479,-79.341096,0
001,43.853638,-79.340434,0
001,43.853680,-79.340265,0
001,43.853724,-79.340092,0
001,43.853956,-79.339242,0
001,43.854016,-79.339034,0
001,43.854091,-79.338746,0
001,43.854149,-79.338535,0
001,43.854218,-79.338330,0
001,43.854297,-79.338132,0
001,43.854417,-79.337839,0
001,43.854501,-79.337619,0
001,43.854585,-79.337398,0
001,43.854668,-79.337176,0
001,43.854749,-79.336961,0
001,43.855018,-79.336211,0
001,43.855111,-79.335947,0
001,43.855199,-79.335679,0
001,43.855282,-79.335408,0
001,43.855410,-79.334966,0
001,43.855475,-79.334720,0
001,43.855544,-79.334452,0
001,43.855675,-79.333900,0
001,43.855849,-79.333153,0
001,43.856016,-79.332435,0
001,43.856183,-79.331709,0
001,43.856322,-79.331106,0
001,43.856526,-79.330225,0
001,43.856843,-79.328868,0
001,43.857014,-79.328132,0
001,43.857205,-79.327306,0
001,43.857463,-79.326194,0
001,43.857524,-79.325930,0
001,43.857846,-79.324539,0
001,43.858099,-79.323466,0
001,43.858448,-79.321965,0
001,43.858759,-79.320637,0
001,43.859371,-79.317999,0
001,43.859469,-79.317577,0
001,43.859589,-79.317408,0
001,43.860074,-79.315309,0
001,43.860213,-79.314723,0
001,43.860447,-79.313762,0
001,43.860593,-79.313162,0
001,43.860829,-79.312181,0
001,43.861153,-79.310820,0
001,43.861411,-79.309595,0
001,43.861828,-79.307562,0
001,43.861922,-79.307099,0
001,43.862701,-79.303729,0
001,43.862936,-79.302685,0
001,43.863120,-79.301902,0
001,43.863363,-79.300855,0
001,43.863762,-79.299160,0
001,43.863955,-79.298334,0
001,43.863948,-79.298069,0
001,43.864222,-79.296910,0
001,43.864345,-79.296398,0
001,43.864447,-79.295956,0
001,43.864530,-79.295812,0
001,43.864596,-79.295524,0
001,43.864713,-79.295014,0
001,43.865065,-79.293494,0
001,43.865043,-79.293284,0
001,43.865233,-79.292443,0
001,43.865374,-79.291842,0
001,43.865630,-79.290728,0
001,43.866014,-79.289064,0
001,43.866266,-79.287966,0
001,43.866715,-79.286050,0
001,43.867035,-79.284748,0
001,43.867173,-79.284506,0
001,43.867432,-79.283514,0
001,43.867622,-79.282845,0
001,43.868058,-79.281347,0
001,43.868225,-79.280745,0
001,43.868681,-79.278906,0
001,43.868921,-79.277912,0
001,43.868996,-79.277613,0
001,43.869455,-79.275612,0
001,43.870226,-79.272300,0
001,43.870717,-79.270228,0
001,43.871300,-79.267820,0
001,43.871577,-79.266547,0
001,43.871871,-79.265300,0
001,43.872064,-79.264518,0
001,43.872115,-79.264255,0
001,43.872211,-79.263913,0
001,43.872317,-79.263572,0
001,43.872453,-79.263204,0
001,43.872604,-79.262838,0
001,43.872719,-79.262579,0
001,43.872801,-79.262432,0
001,43.873057,-79.261989,0
001,43.873272,-79.261635,0
001,43.873464,-79.261257,0
001,43.873633,-79.260859,0
001,43.873777,-79.260442,0
001,43.873895,-79.260010,0
001,43.873936,-79.259829,0
001,43.874175,-79.258748,0
001,43.874325,-79.258121,0
001,43.874485,-79.257438,0
001,43.874574,-79.257067,0
001,43.874765,-79.256291,0
001,43.875038,-79.255143,0
001,43.875255,-79.254257,0
001,43.875336,-79.253950,0
001,43.876291,-79.249932,0
001,43.876787,-79.247787,0
001,43.877367,-79.245348,0
001,43.877859,-79.243251,0
001,43.878141,-79.241983,0
001,43.878459,-79.240620,0
001,43.878801,-79.239147,0
001,43.878891,-79.238736,0
001,43.878984,-79.238316,0
001,43.879064,-79.237964,0
001,43.879103,-79.237599,0
001,43.879121,-79.237229,0
001,43.879115,-79.236859,0
001,43.879086,-79.236490,0
001,43.879046,-79.236121,0
001,43.879016,-79.235897,0
001,43.878930,-79.235362,0
001,43.878846,-79.234832,0
001,43.879444,-79.234988,0
001,43.879888,-79.235088,0
001,43.880018,-79.235120,0
001,43.880511,-79.235255,0
001,43.880702,-79.235316,0
001,43.881458,-79.232092,0
001,43.881655,-79.231354,0
001,43.880032,-79.230619,0
